Datetime,Open,High,Low,Close,Volume
1609447020000,28919.99000000,28941.29000000,28919.99000000,28938.90000000,36.43954500
1609447080000,28939.49000000,28950.01000000,28934.99000000,28943.63000000,64.90952500
1609447140000,28943.63000000,28951.00000000,28938.90000000,28946.33000000,32.21739500
1609447200000,28946.33000000,28960.00000000,28939.57000000,28960.00000000,36.94912400
1609447260000,28959.52000000,28959.52000000,28929.12000000,28939.48000000,32.36288600
1609447320000,28939.49000000,28962.06000000,28937.81000000,28958.28000000,38.27488000
1609447380000,28958.27000000,28958.44000000,28947.71000000,28947.71000000,15.92665600
1609447440000,28947.66000000,28947.66000000,28930.05000000,28933.79000000,11.33715400
1609447500000,28933.80000000,28945.95000000,28926.18000000,28937.24000000,20.23583800
1609447560000,28937.24000000,28948.16000000,28930.00000000,28933.97000000,21.17282500
1609447620000,28933.96000000,28935.91000000,28925.00000000,28925.00000000,5.69415400
1609447680000,28925.00000000,28925.01000000,28906.19000000,28906.19000000,12.26074200
1609447740000,28906.20000000,28919.26000000,28905.63000000,28906.59000000,17.56142600
1609447800000,28906.59000000,28947.48000000,28900.22000000,28947.12000000,29.04908400
1609447860000,28947.81000000,28988.34000000,28947.81000000,28988.34000000,52.03992600
1609447920000,28988.71000000,29039.71000000,28988.70000000,29028.52000000,177.49435900
1609447980000,29028.52000000,29050.00000000,29028.52000000,29045.00000000,76.24998500
1609448040000,29045.00000000,29053.91000000,29027.64000000,29029.32000000,62.07016300
1609448100000,29029.32000000,29065.00000000,29027.63000000,29064.99000000,31.36965000
1609448160000,29064.99000000,29089.85000000,29058.79000000,29075.00000000,54.86806700
1609448220000,29074.99000000,29090.00000000,29065.38000000,29075.75000000,53.93490900
1609448280000,29075.76000000,29118.00000000,29075.75000000,29110.18000000,139.27226400
1609448340000,29109.55000000,29139.65000000,29108.92000000,29126.70000000,76.96240400
1609448400000,29126.71000000,29140.00000000,29102.19000000,29118.48000000,56.75351400
1609448460000,29118.49000000,29118.49000000,29052.71000000,29059.18000000,76.25272200
1609448520000,29059.17000000,29059.17000000,28968.98000000,29002.34000000,120.76759300
1609448580000,29002.35000000,29013.84000000,28981.00000000,28989.77000000,61.01962200
1609448640000,28989.78000000,29015.40000000,28988.33000000,28993.20000000,37.60392600
1609448700000,28992.70000000,28993.20000000,28900.79000000,28928.37000000,82.18023000
